date,country,epidemiological_week,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2021-01-24,Brazil,202104,8850334,217182,28519,595
2021-01-25,Brazil,202104,8880864,217872,30530,690
2021-01-26,Brazil,202104,8942472,219027,61608,1155
2021-01-27,Brazil,202104,9007244,220363,64772,1336
2021-01-28,Brazil,202104,9068004,221801,60760,1438
2021-01-29,Brazil,202104,9127507,222888,59503,1087
2021-01-30,Brazil,202104,9180621,224079,53114,1191
2021-01-31,Brazil,202105,9208521,224646,27900,567
2021-02-01,Brazil,202105,9237011,225271,28490,625
2021-02-02,Brazil,202105,9293289,226532,56278,1261
2021-02-03,Brazil,202105,9347703,227730,54414,1198
2021-02-04,Brazil,202105,9404810,229007,57107,1277
2021-02-05,Brazil,202105,9456500,230258,51690,1251
2021-02-06,Brazil,202105,9502810,231195,46310,937
2021-02-07,Brazil,202106,9528972,231684,26162,489
2021-02-08,Brazil,202106,9557558,232405,28586,721
2021-02-09,Brazil,202106,9608775,233720,51217,1315
2021-02-10,Brazil,202106,9669883,235081,61108,1361
2021-02-11,Brazil,202106,9723487,236523,53604,1442
2021-02-12,Brazil,202106,9772429,237742,48942,1219
2021-02-13,Brazil,202106,9817285,238768,44856,1026
2021-02-14,Brazil,202107,9848008,239421,30723,653
2021-02-15,Brazil,202107,9873816,240032,25808,611
2021-02-16,Brazil,202107,9939100,241124,65284,1092
2021-02-17,Brazil,202107,9986325,242313,47225,1189
2021-02-18,Brazil,202107,10036959,243752,50634,1439
2021-02-19,Brazil,202107,10091961,245083,55002,1331
2021-02-20,Brazil,202107,10144332,246113,52371,1030
2021-02-21,Brazil,202108,10173817,246720,29485,607
2021-02-22,Brazil,202108,10205659,247431,31842,711
2021-02-23,Brazil,202108,10269247,248789,63588,1358
2021-02-24,Brazil,202108,10334634,250235,65387,1446
2021-02-25,Brazil,202108,10402775,251811,68141,1576
2021-02-26,Brazil,202108,10466305,253151,63530,1340
2021-02-27,Brazil,202108,10524723,254403,58418,1252
2021-02-28,Brazil,202109,10558088,255175,33365,772
2021-03-01,Brazil,202109,10598474,256004,40386,829
2021-03-02,Brazil,202109,10658168,257725,59694,1721
2021-03-03,Brazil,202109,10731066,259573,72898,1848
2021-03-04,Brazil,202109,10807088,261380,76022,1807
2021-03-05,Brazil,202109,10878729,263074,71641,1694
2021-03-06,Brazil,202109,10946497,264584,67768,1510
2021-03-07,Brazil,202110,11028181,265682,81684,1098
2021-03-08,Brazil,202110,11064766,266804,36585,1122
2021-03-09,Brazil,202110,11136060,268755,71294,1951
2021-03-10,Brazil,202110,11217527,271136,81467,2381
2021-03-11,Brazil,202110,11294598,273331,77071,2195
2021-03-12,Brazil,202110,11377069,275453,82471,2122
2021-03-13,Brazil,202110,11447416,277412,70347,1959
2021-03-14,Brazil,202111,11490864,278483,43448,1071
2021-03-15,Brazil,202111,11535178,279817,44314,1334
2021-03-16,Brazil,202111,11620822,282667,85644,2850
2021-03-17,Brazil,202111,11709475,285328,88653,2661
2021-03-18,Brazil,202111,11797401,288052,87926,2724
2021-03-19,Brazil,202111,11885660,290708,88259,2656
2021-03-20,Brazil,202111,11958814,293076,73154,2368
2021-03-21,Brazil,202112,12006259,294238,47445,1162
2021-03-22,Brazil,202112,12062229,295926,55970,1688
2021-03-23,Brazil,202112,12142957,298975,84969,3157
